T F7 F3 F4 F8 T3 C3 Cz C4 T5 P3 Pz P4 T6 O1 O2
0.775 -2.787 -4.854 -18.56 -17.21 1.708 -5.888 -27.19 -21.66 5.888 -0.7035 -8.705 -4.573 5.303 2.517 -0.3596
0.78 -12.22 -13.84 -16.63 -12.58 -3.236 -13.39 -28.99 -17.62 3.775 -5.276 -16 -6.419 5.393 0.4494 0.8989
0.785 -13.39 -16 -10.29 -3.326 -5.708 -16.58 -22.07 -9.483 0.8989 -7.914 -19.96 -6.771 4.315 -2.337 1.798
0.79 -8.18 -11.78 -1.933 4.539 -4.854 -14.43 -11.15 -1.528 -1.978 -8.705 -18.73 -5.188 2.337 -5.213 2.876
0.795 -0.809 -4.135 6.382 7.371 -1.393 -8.09 -0.3146 3.73 -3.011 -7.035 -11.17 -1.583 0.7191 -5.393 5.483
0.8 6.292 3.64 13.12 6.517 2.876 -0.6292 8.854 6.202 -1.933 -2.99 1.407 3.869 0.6292 -0.8989 10.79
0.805 11.24 9.348 17.93 6.517 6.112 5.618 16.94 9.348 0.6292 2.11 15.21 11.17 2.697 7.73 18.79
0.81 12.49 11.96 20.54 10.65 7.775 10.56 23.87 15.78 3.82 7.562 26.2 19.87 6.831 17.8 27.42
0.815 10.34 11.87 19.69 17.44 8.135 13.66 27.82 22.7 6.966 12.84 31.22 27.44 11.6 25.35 32.81
0.82 7.191 9.663 14.52 21.8 7.461 13.8 26.56 24.45 9.798 17.59 29.28 31.13 15.73 27.87 32.27
0.825 3.506 5.843 6.876 19.87 6.067 10.79 19.82 19.87 12.09 19.96 22.07 29.72 17.44 25.08 25.71
0.83 -1.348 0.8539 0.7191 11.87 4.539 5.933 9.888 13.17 12.54 17.76 11.96 23.83 15.37 18.07 14.56
0.835 -6.382 -4.045 -2.022 1.483 3.011 0.1798 0.1798 7.865 9.888 9.849 0.5276 13.63 8.809 7.64 0.809
0.84 -8.449 -7.236 -2.742 -7.596 0.6292 -6.607 -6.921 3.326 3.865 -1.935 -11.26 0 -0.8989 -5.303 -12.94
0.845 -7.371 -9.034 -4 -13.03 -2.921 -13.35 -11.06 -2.472 -3.551 -14.16 -21.19 -14.25 -11.06 -18.7 -23.73
0.85 -6.292 -11.15 -7.056 -14.83 -6.876 -17.93 -13.44 -10.16 -9.124 -22.25 -26.38 -25.32 -18.61 -28.49 -29.3
0.855 -8 -14.79 -11.19 -14.38 -10.52 -19.64 -14.97 -19.06 -10.52 -23.92 -25.5 -31.22 -21.84 -31.55 -29.12
0.86 -11.33 -18.74 -14.56 -13.26 -13.3 -19.82 -15.19 -26.61 -8.27 -20.66 -19.96 -31.66 -21.12 -27.69 -24.09
0.865 -13.75 -20.27 -15.01 -11.73 -14.56 -18.47 -12.76 -28.22 -5.393 -15.92 -12.4 -26.56 -17.17 -19.24 -16
0.87 -12.94 -17.21 -11.73 -9.079 -13.17 -13.93 -6.966 -20.58 -3.775 -11.61 -4.133 -16.62 -11.06 -9.258 -7.011
0.875 -7.191 -9.079 -6.472 -5.213 -8.225 -5.393 1.079 -6.607 -3.191 -6.331 4.573 -3.869 -3.865 0 0.809
0.88 3.506 1.843 -1.978 -0.9888 -0.1798 6.022 9.034 6.966 -1.438 2.462 13.63 8.705 3.506 7.91 6.652
0.885 15.46 12.45 0.9438 2.607 9.528 18.02 14.65 16.04 3.011 15.04 21.98 18.47 9.798 14.38 10.61
0.89 23.1 19.96 3.64 5.213 18.79 28.54 16.54 20.67 8.944 27.52 27.26 23.21 13.21 18.79 12.31
0.895 25.08 24.13 6.562 6.966 24.99 34.74 14.61 21.08 13.08 34.73 26.2 20.75 12.4 18.97 10.88
0.9 24.45 26.52 8.629 7.73 26.25 34.2 9.843 16.58 12.09 32.8 17.59 11.7 7.91 14.11 6.112
0.905 24.45 27.55 8.899 7.91 22.52 27.78 3.64 8.629 5.978 22.86 5.276 0.8793 2.427 5.933 0.08989
0.91 24.18 25.98 7.865 7.685 16.09 19.06 -2.202 1.213 -1.483 10.11 -3.693 -5.716 -1.348 -0.8989 -4.315
0.915 21.3 20.76 6.382 6.831 9.708 11.06 -6.157 -2.921 -6.022 0.7914 -4.485 -5.54 -2.337 -2.876 -5.213
0.92 14.92 12.49 4.989 4.809 4.584 4.539 -6.697 -3.416 -5.798 -2.726 2.022 -0.9673 -1.798 0.2697 -2.787
0.925 5.393 3.146 3.955 2.247 0.6292 -0.4494 -3.011 -0.4944 -2.472 -2.286 10.9 3.429 -1.888 5.303 0.6292
0.93 -6.652 -5.393 3.281 0.809 -2.876 -3.461 3.955 4.854 1.079 -1.671 16.27 4.573 -3.775 8.629 2.517
0.935 -18.07 -11.87 2.067 1.393 -6.517 -5.303 11.37 8.944 2.921 -2.99 14.6 1.671 -7.281 8.27 1.258
0.94 -24.54 -15.78 -0.809 3.101 -10.47 -8 15.37 7.82 2.742 -6.067 6.155 -3.429 -10.34 4.584 -1.798
0.945 -24.99 -17.66 -4.36 3.775 -13.89 -11.73 12.85 1.618 1.798 -9.585 -5.188 -7.386 -11.51 -0.3596 -4.225
